,comentarios,estrelas
64,"A XP-241 é uma impressora péssima. Muito embora imprima com qualidade, os cartuchos são difíceis de encontrar, não imprime o numero de página que diz imprimir, os cartuchos são caros. Me senti lesado, pois a Epson colocou um produto no mercado, em que o consumidor sofra para encontrar acessórios necessários e com preços acessível, uma vez que imprimem muito pouco, mesmo sendo numa qualidade baixa de impressão, ou rascunho. Não vale a pena!!!",1
65,"Ótimo produto, cumpre o que promete, custo beneficio otimo",5
66,Foi fácil utilização. Boa qualidade! Entrega rápida.,4
67,"Ótima!
Só não conseguir instalar o Wi-Fi ainda!
Boa recomendo",4
68,"O produto possui recursos que preciso, recomendado!!!",5
69,"Impressora de ótima definição, mas a cor magenta (vermelho) poderia ser mais forte. Outro fator importante que a loja não menciona, é ser importada (na minha compra da Malásia) o que torna quase impossível usar cartuchos compatíveis de capacidade maior em ml, do resto a Magazine Luisa está de parabéns.",4
70,"Produto vem apresentando boa qualidade, cumprindo o seu dever, bom custo beneficio",4
71,"Vai ser a primeira vez que compro este produto,mas foi muito bem recomendado.",5
72,imprime rapido e tem uma conectividade com computador e celular bem legal,5
73,"Ótimo produto, fácil instalação, valeu apena.recomendo a todos, entrega super rápida.",5
74,"A impressora é eficiente e funciona exatamente da forma descrita nas informações. Algumas observações para quem deseja comprar: ela só funciona com cartuchos originais da Epson e não possui sistema para  recarregar a tinta do cartucho, ou seja, é necessário cartuchos novos sempre que a tinta acaba, em relação a  instalação da impressora é feita por cd então complica um pouco para quem não possui entrada. Mas funciona perfeitamente, no meu caso estou gostando bastante!",4
75,"Se um cartucho secar não imprime sequer o preto, ainda não consegui usar o wi fi, as tintas acabam logo, mau imprime 20 folhas. Tô arrasada!",1
76,A impressora atende minhas necessidades no momento,5
77,Entrega no prazo e produto funcionando. Custo benefício muito bom.,5
78,"No geral, a impressora vale muito o valor investido. A impressão é de boa qualidade.",5
79,comprei a impressora imprimir 2 folhas a tinta q veio acabou. o cartucho n é recarregavel e custa caro cada um deles.,1
80,Bom produto com ótimo custo benefício boa qualidade de impressão e fácil instalação.,4
81,"Ótima impressora, realmente cumpre as obrigações estabelecidas!",4
82,O produto veio em perfeitas condições ... Superou minhas expectativas,5
83,"O produto e otimo! Mais não é o q eu queria.
Ela é a cartucho não vai trazer uma boa econômica para mim",2
84,"Bom, muito bom
Exelente aparelho,
Ótimo desempenho",5
85,"nota 1000 quem conhece ja sabe que e boa epson e uma das melhores ,estarei comprando outra ainda",5
86,"Achei tudo muito rápido,comprei chegou em menos de uma semana, fácil instalação,tudo em perfeito estado, só Achei que deveria ter uma proteção na frente na saída do papel,ainda só não sei se vou me arrepender de não ter reparado de ser cartuchos,falta de atenção minha.... só me arrependo disso..",4
87,"Muito boa, de fácil instalação e impressão de ótima qualidade.",5
88,Ótima impressão cumpre o que promete atendeu minhas expectativas nota dez,5
89,"Adorei ela pq ela tem wi-fi,imprime em boa qualidade,não tenho nada a reclamar",5
90,"Produto de qualidade com ótimo custo beneficio.
.
.
.",5
91,"Impressora eficaz, impressão em ótima qualidade. Muito prática a instalação e excelente o recurso wifi, facilitou muito minha vida. Entrega no prazo, estou muito satisfeira. Recomendei e minha mãe comprou uma igual na semana seguinte :) Obrigada!",5
92,"Atendeu  minhas expectativas, chegou antes do prazo a configuração para conectar o wifi e fácil e rápida!!! muito bom",5
93,"Muito bom desempenho, ótima impressão, está realmente me ajudando muito no dia a dia.",5
94,"O produto é muito funcional, excelente acabamento e muito prático.",5
95,"a impressora é de boa qualidade das impressões são muito boas mas quando acaba os cartuchos custa a metade da impressora nova se você tiver que comprar as quatro cores ao mesmo tempo, por isso não recomendo essa impressora  pra quem faz varias copias no mês .",3
96,"Cartucho grande com pouca tinta. Não vale a pena. Li que a cada vez que é ligada, a impressora gasta muita tinta com a limpeza da cabeça de impressão. Resumo:  Você vai gastar muito com compra de cartucho.  Melhor comprar uma impressora tanque de tinta.",2
97,Atendeu plenamente minha necessidade. Tudo dentro do esperado.Recomendo,5
98,Atendeu com as minhas demandas e tem um ótimo desempenho,5
99,"oi, o produto veio em tempo . intacto, limpo , bem embalado, nota fiscal, componentes, e está funcionando bem; espero que algumas dessas características sejam preservadas por um longo tempo, assim seja!",4
100,"Apesar de se um pouco complicada para ser instalada via wireless, depois que vi um vídeo explicando, passei menos de 10 minutos para instalar e começar a usar a impressora.",5
101,"A entrega foi super rápida além de ter chegado em perfeitas condições, a instalação foi bem tranquila e prática, a impressora é de ótima qualidade.",5
102,"A impressora é ótima, de fácil instalação e de ótimo qualidade, recomendo muuuito!!",5
103,Um excelente produto com uma impressão de  ótima qualidade,5
104,"facil de conectar, produto muito bom entregou rápido",5
105,"perdi meu dinheiro , pois não recomendo ninguem comprar, pra encher os cartucho é muito caro não reconpensa .",1
106,Adorei já comprei pra mim e e outra depois para minha irmã!,5
107,"Estou só a Qutro dia com ela por enquanto nao tenho o que reclamar ,excelente qualidade de impressão so um pouco barulhenta..
Sobre a Lojas Magazine so elogio compra e entrega super rápida...",4
108,"Cartucho de 4 ML esgota muito rápido principalmente o preto. estou arrependido de ter comprado, só uso para imprimir boletos de vez em quando. Absurdo!!!",3
109,"Produto muito bom, fácil de montar e instalar e muito prático. Atendendo bem as expectativas.",5
110,"muito boa, a qualidade da impressão é maravilhosa. o designer é incrível,   é um ótimo custo benefício, leve, e ocupa pouco espaço.",5
111,Imprimiu 10 folhas e a tinta acabou. Péssimo custo benefício.,1
112,Recomendo este produto. Muito bom. Boa qualidade de impressão.,5
113,no anúncio deveria dizer que ela é de cartucho e não é carregado como no meu caso é os mesmo só para tirar xerox não vejo tão problema mas deveria ter mais no anúncio do produto,3
114,"os cartuchos que vieram inclusos não duram muito, o preto não deu pra imprimir nem 50 folhas , no mais tudo ok",4
115,"Boa impressora, porém comprei para desbloquear e usar com bulk, pois comprar cartuchos de tinta se torna muito caro.",4
116,"Atende plenamente as expectativas, de acordo com o descritivo do produto.",5
117,"Produto bonito de boa qualidade,porem muito difícil de instalar o wi-fi.",4
118,"Produto com qualidade de impressão, scanner e cópias excelente.",5
119,"Produto bom, porém falta mais informações sobre configurações wifi entre outras.",4
120,"A IMPRESSORA E DE QUALIDADE, ENTRETANTO OS CARTUCHOS SAO DE PRECO SALGADO E POUCA AUTONOMIA( IMPRIMEM EM TORNO DE 100 FOLHAS).",2
121,"Essa impressora é muito boa, compacta, bonita e super fácil de usar, e super econômica.",5
122,"Utilizo pouco, mas tem atendido minhas necessidades, em uma semana...",5
123,"Comprei cartuchos originais, não adiantou, não é recarregável, já pensou comprar a cada 20 cópias um cartucho, pois é isto que dura a tinha, agora tenho q tentar carregar na gambiarra, tirando do YouTube. vou comprar as tintas e tentar..",3
124,"comprei a impressora na terceira vez de uso seu problema e liguei pra lá e eles não querem fazer a troca. Sempre comprei as coisas aqui, mas nunca mais compro nada.",1
125,"Muito boa, gostei, chegou super rápido, super recomendo!",5
126,"muito bom produto excelente fácil de estalar, perfeita muito boa recomendo,a entrega muito rápida",5
127,"É um bom produto, porém pode parece bem ''Frágil'' com material de pouca resistência.  entretanto atende bem as demandas, e é bem fácil de instalar. Os cartuchos são bem baratos, e o wi fi com o celular funciona muito bem.",4
128,eu recomendo. e ainda chegou antes da data prevista,5
129,"A impressora tem um ótimo custo/benefício, no entanto, veio com um probleminha e tive de levar na assistência autorizada que encaminhou tudo e me atendeu totalmente grátis pela garantia do fabricante. O lado positivo é que a EPSON tem assistência autorizada em várias cidades, mas, se não houvesse na minha cidade poderia ser um grande transtorno.",4
130,"Dentro a proposta do produto que é atender um uso domiciliar, a impressora Epson XP-241 tem atendido minha necessidade. Com seu sistema WI-FI, ela facilita a impressão de documentos e permite agilidade e mobillidade para quem quiser usar a impressora que esteja no domicilio.",5
131,"A impressora é ótima em todos os aspectos, exceto em um detalhe, os cartuchos. Para você que imprime pouco, mas pouco mesmo, ela servirá. Comprei sem saber do drama, caso queiram adquirir o produto, compre junto com os cartuchos para trocar logo, pq não são econômicos e nem recarregáveis.",1
132,"Muito bom, só tive dificuldades para fazer a instalação, pois é um pouco confuso. Mas a melhor coisa é instalar através do PC solicitando para usar a impressora de modo sem fio, depois fica fácil imprimir do celular através do aplicativo para IOS.",4
133,"Cartuchos não tem tanta durabilidade, mesmo assim o produto é bom.",4
134,"excelente produto, muito bom, prarica, simples e eficiente",5
135,"muito boa e fácil de usar
quaçidade excelente naimpressão colorida e preto também",5
136,funciona como o previsto......................................................................................................................................................,5
137,"eu recebi a minha adorei ...ela é linda veio completa instalei com muita tranquilidade,a impressorão é excelente, super recomendo",5
138,"Os cartuchos não são rerregáveis,quando acaba tinta de um único cartucho, ela não imprime mesmo que os outros cartuchos estejam com tinta.. E os cartuchos são caros..o custo acaba saindo muito caro..",2
139,"Cedo para falar mas parece um bom produto, tive outra da mesma marca que durou bastante, essa é mais silenciosa",4
140,Rapidez na entrega e produto maravilhoso e econômico,5
141,"A impressão de fotos não é excelente porém é boa, a impressão tbm é boa.",4
142,"Excelente produto, atendeu todas as minhas expectativas.",5
143,"Ótima impressora adoro essa marca a melhor que tem, só acho que deveria poder imprimir mesmo que um dos cartuchos coloridos estivessem sem tinta, no caso só funciona se estiverem todos cheios, fora isso muito bom.",4
144,"Produto muito bom, aténdeu as minhas espequitativa",5
145,"Fácil instalação, leve, compacta, enfim, atende perfeitamente dentro do proposto. Só não classifiquei com 5 estrelas pq os cartuchos são pequenos.",4
146,"Impressora bonita, compacta e multifuncional! Ótima relação de custo-benefício. Recomendo o produto!",4
147,Comprei há um mês. A entrega foi super rápida. Produto excelente e compacto.,5
148,"Não consegui configurar a impressora com o wi-fi de forma alguma, para imprimir tenho que utilizar o cabo. O manual é muito pobre de informações e explicações. 
O restante até este momento supriu minhas necessidades.",3
149,"Produto muito bom, rápido e eficaz. E de fácil instalação.",4
150,"rápido, confiável, veio corretamente e com muita rapidez",5
151,"A qualidade da impressão é maravilhosa,são cores bem vivas. Ela é Ótima para quem não precisa imprimir em grandes volumes.Acabei de comprar então n tenho o que reclamar.",5
152,"design muito bonito, fácil de instalar, muita praticidade e economia na manipulação de cartuchos de tinta por serem individuais.
Deixa um apouco a desejar na impressão modo econômico que a tinta preta fica muito fraca, e o wifi as vezes falha.",4
153,"Ela é top de linha , ótima para impressão, xérox, digitação e tem função de wi-fi que posso imprimir direto do celular",5
154,"gostei aparentemente...! a entrega foi feita antes do prazo estipulado..


gostei disso.... até então tá TD Ok, superou minhas expectativas...

show.
parabéns..


.",4
155,"Qualidade da impressão excelente. Só os cartuchos que não duram muito. Realmente um produto para uso doméstico, pra quem não precisa de imprimir muita coisa.",5
156,"Impressora muito boa vale cada centavo, estou muito satisfeito.",5
157,"produto perfeito, cumpri com o que se proponhe  ...",5
158,"Rápida, impressão perfeita, tanto o preto como a cores.",5
159,Não gostei pois a tinta acaba rápido demais. Não é econômica.,2
160,excelente impressora maravilhosa muito boa..................,5
161,Amei e oque eu esperava chega no dia certinho super recomendo,5
162,"Ótimo produto,rapidez na entrega, estão de parabéns eu simplesmente amei, só agradeço",5
163,"ela é boa mas o único problema são os cartuchos, pois estamos no período de tecnologia avançada deveria melhorar essa situação.",1
164,"A impressora atinge os meus objetivos, muito útil.",5
165,Meu produto chegou antes do prazo ainda não configurei p ver se é realmente bom,5
166,Fácil de manusear e imprimir (com solavancos). A instalação foi tranquila e tem boa  aparência.,4
167,É um produto muito bom funciona muito bem cumpre o que promete.,5
168,"Até gostei do produto, é já usei as cores para substituir o preto, mas indicaria comprar mais caro e com tanque, é  copiadora mas preferiria uma melhor, vai a dica pague pelo melhor.",4
169,Otimo produto. A única coisa q não fiquei muito satisfeita foi só a questão da quantidade de tinta q vem no cartucho e por não ser recarregavel. Mim deram 12 dias para a entrega e em menos de 48 hs o produto já estava comigo. A impressora e bem fácil de manusear pelo celular.,5
170,"Impressora wifi é tudo de bom! Com um preço assim barato, melhor ainda!!",5
171,produto excelente! podem comprar sem medo. ótimo custo x benefício,5
172,"Comprei achando que pela marca seria otimo trabalhar com essa impressora. Lasqueime o Cartucho não e recarregável tem que ser comprado e dura muito pouco.gostaria de não dar nem uma estrela, mas to vendo que e obrigada.",1
173,Atendeu tudo que queria chegou muito antes do prazo pode compra sem medo.,5
174,"A impressora é muito boa, impressão excelente, silenciosa, rápida a instalação. Excelente custo benefício.",5
175,"Ate Agora a impressora está sendo bem útil, a qualidade é excelente  e para imprimir é bem rápida. Na Minha opinião a tinta não acaba rápido e mesmo assim tem um bom custo beneficio ""Depende do uso"" como eu utilizo pouco a tinta dura muito.",5
176,exelente com ótima qualidade que supera outras...quem gosta de qualidade sempre vai optar por a epson,4
177,"Ótima Multifuncional, econômica, cartuchos com mais quantidade de tinta e mais barato do que a marca concorrente e impressão de copias muito boa.",5
178,"comprei  e vei sem tintas os cartuchos, e é super caro pra recarregar aqui em minha cidade ,o mais tudo ok",3
179,"Produto excelente, boa nitidez nas imagens, eficaz, um pouco lenta em impressões complexas.",5
180,"É  um produto de otima qualidade, estou satisfeito com a compra.",5
181,"A compra foi feita há 1 mês, mas esperei a impressora começar a pedir para repor o cartucho para poder avaliar e eu estou bem satisfeita com o produto, pois eu utilizo muito a impressão colorida, já utilizei para fazer scanner também e pela quantidade de trabalhos que eu tenho para imprimir, a durabilidade da tinta está ótima.",5
182,"Excelente Impressora pra uso pessoal, a qualidade da impressão é muita boa, a instalação é super fácil, o que deixa a desejar são as quantidades de tintas nos cartuchos, mais como falei pra quem faz pouca cópias é um excelente equipamentos, recomendo a todos...",5
183,"Para aquilo que eu preciso essa impressora 
 me atende, o produto está dentro  daquilo que eu esperava dele. Recomendo.,",4
184,Simplicidade e  facilidade. Simplicidade para instalar e configurar e facilidade para imprimir de qualquer dispositivo. Perfeito para uso domestico.,4
185,Impressão rápida e de boa qualidade! Ótimo custo beneficio para uso domestico.,4
186,Entrega super rápida e dentro do prazo de 2 dias q me deram.amei a impressora e recomendo.essa é uma empresa q respeita o consumidor no pós compra.parabens!!!,5
187,"Escaneia muito bem, imprime muito bem, só tem cartuchos muito pequenos e com pouca tinta pelo que vi nos reviews, ainda não usei muito, mas é de ótima qualidade.

A melhor no custo-benefício no segmento wifi.",5
188,sobre o custo benefício? é altíssimo o cartucho acaba rápido. E sai  várias folhas em branco ao mesmo tempo na hora de imprimir,1
189,Cartuchos caros como as demais impressoras.No resto parece ser satisfatória.,4
190,"Então das impressoras domésticas muito boa, essa é a terceira 241 Epson que tenho duas no escritório e uma na residência,tem cara de profissional,logo vou colocar um quite de tinta externo.",4
191,"Muito bom, vale a pena pelo custo-benefício. Bem prática e compacta.",4
192,Impressora com um excelente custo benefício. Atende perfeitamente para as minhas tarefas do dia a dia.,4
193,Epson impressora multifuncionais ela promete mais autonomia e mais rendimento de tinta e capacidade de imprimir milhares de documentos em uma única abastecimento.,5
194,"Entrega em menos de 24horas da compra, impressora super pratica, recomendo",5
195,"Boa qualidade de impressão, cópia fácil, cartuchos individuais. O painel é simples demais. Faltam opções de configuração.  O Wi-Fi é um pouco chato de configurar, mas depois funciona certinho. No geral é um vim produto. Recomendo. 
Ps. Como toda impressora de cabeça fixa, não fique muito tempo sem imprimir (colorido também), porque pode entupir.",4
196,"Até agora não tenho o que reclamar, fiz a impressão para teste e gostei os demais não testei ainda.",4
197,"Impressão de ótima qualidade, super útil, além de completa.",5
198,"Muito bom o produto e o atendimento do suporte da Epson, quando solicitei informações complementares quanto compatibilidade de versões, foi muito prestativo.",5
199,"Porém, a tinta dos cartuchos acabam rapidamente e sua troca com produtos originais se torna inviável.",2
200,"Ótimo produto super recomendo,além do custo benefício gostamos muito dessa marca.",5
201,"Multifuncional eficiente. Entendo como vantagem das impressoras Epson a independência dos cartuchos coloridos, permitindo troca por cor.",5
202,Excelente produto era o que eu procurava e resolveu o meu problema.,5
203,"O produto correspondeu às minhas expectativas, excelente custo benefício...para atividades do dia dia, muito bom",5
204,"Muito bonito o design da impressora, a parte de configuração do Wi-Fi deveria ser mais fácil, tive uma certa dificuldade, mas no geral é excelente!!",4
205,Otima pra quem esta procurando uma multifuncional de qualidade e custo beneficio,5
206,Atende perfeitamente todas as necessidades de uma impressora caseira e que pode se transformar em impressora de rede. Das poucas que se consegue fazer a conexão WiFi de forma imediata com o smartphone e o notebook.,5
207,"Produto muito bom. Sistema sofisticado e claro,com qualidade de impressão muito boa.",5
208,Produto muito bom e fácil de instalar a impressão é muito boa fácil de usar sem nenhum mistério.,5
209,"Manual deveria estar especificando melhor como ligar o wi-fi, só consegui ligar assistindo vídeos no YouTube.",4
210,Cumpre o prometido... porém bem complicada para a instalação do wi foi,3
211,"O produto chegou como esperado e deu tudo certo, era isso que eu precisava",5
212,"A impressora veio com defeito, ficava constantemente acusando papel agarrado, antes mesmo de eu chegar a usar. Já solicitei a troca e retornei o produto, mas ainda estou aguardando um novo.",3
213,"Produto muito bom, atende as expectativas de quem quer para uso residencial, com poucas impressões.

Ficou livre para retirar na loja antes do prazo estabelecido, portanto, nada de errado.",5
214,"Até o momento, excelente qualidade em tudo, não tenho o que reclamar.",5
215,Impressora de fácil manuseio e recarga de cartucho individual!,5
216,"Apesar de ter usado pouco, ainda, estou satisfeito.
Só acho que o cartucho preto tem pouca duração.",4
217,"MUITO BOA A QUALIDADE DA TINTA, RAPIDEZ DA IMPRESSÃO E QUALIDADE NO SCANER",5
218,"Gostei Muito,mas quero comprar os cartuchos e não sei quantos são e as cores,quais são. O produto é ótimo",4
219,"Não gostei da impressora devido a mesma ser cartucho eu imprimi 20 folha e já acabou a tinta.
O preço estava bom mais devido esse motivo não gostei, tinha que informa que era de cartucho não vi nem um ponto informando que a mesma era de cartucho por isso comprei se eu tivesse visto que era de cartucho não teria comprado eu me arependir muito de ter comprado a impressora..",1
220,Produto atende minhas necessidades. Ótimo custo benefício.,5
221,"Primeiramente ressalto a rapidez em que o produto chegou em minhas mãos pela Magazine Luiza. O produto atendeu bem as minhas expectativas, utilizo para afazeres domésticos como trabalhos escolares e impressões de cópias. Pra quem quer uma impressora apenas para tarefas esporádicas como fazer a cópia de algum documento ou trabalho escolar, pode comprar sem medo. Me surpreendi muito com a conexão via wi-fi até pelo smartphone.",5
222,"Ótimo produto, custo-benefício bom, para quem quer uma impressora compacta é essa.",5
223,"Multifuncional muito boa, ótima qualidade, facil instalação, custo benefício muito bom, produto maravilhoso...",4
224,"gostei muito do produto, foi entregue bem antes da data. Era o que precisava.",5
225,"Designe bonito, fácil de usar e a qualidade tendo da impressão quanto da scanner é ótima.",5
226,"Impressão dela e muito boa,só que os cartuchos acaba muito rápido",5
227,"Muito boa vale apena,scaner facil de usar criando arquivo pdf podendo colocar varias páginas e até mandar direto pelo email ficando o aquivo leve ,copiadora podendo tirar varias cópias fora a resolução da impressão podendo até imprimir em papel fotográfico à quelas fotos que sempre tiramos da família. Está impressora e ótima e ainda é um ótimo presente para dia dos pais",5
